日付,店舗,商品カテゴリ,商品名,数量,単価,金額
2025-10-26,横浜店,デザート,ケーキ,1,550,550
2025-10-26,大宮店,フード,パスタ,3,950,2850
2025-10-26,横浜店,フード,サンドイッチ,2,600,1200
2025-10-27,渋谷店,ドリンク,紅茶,4,400,1600
2025-10-27,横浜店,フード,パスタ,3,950,2850
2025-10-28,新宿店,ドリンク,コーヒー,5,450,2250
2025-10-29,池袋店,フード,サンドイッチ,4,600,2400
2025-10-31,大宮店,デザート,ケーキ,4,550,2200
2025-11-01,渋谷店,デザート,ケーキ,5,550,2750
2025-11-01,渋谷店,デザート,プリン,2,380,760
2025-11-01,横浜店,フード,カレー,5,900,4500
2025-11-02,大宮店,デザート,プリン,4,380,1520
2025-11-03,池袋店,デザート,ケーキ,5,550,2750
2025-11-04,池袋店,デザート,ケーキ,3,550,1650
2025-11-05,大宮店,フード,サンドイッチ,2,600,1200
2025-11-05,渋谷店,フード,カレー,5,900,4500
2025-11-06,新宿店,ドリンク,紅茶,3,400,1200
2025-11-06,横浜店,フード,パスタ,5,950,4750
2025-11-06,池袋店,ドリンク,ジュース,5,350,1750
2025-11-07,渋谷店,フード,サンドイッチ,5,600,3000
2025-11-07,横浜店,デザート,プリン,4,380,1520
2025-11-08,新宿店,ドリンク,コーヒー,3,450,1350
2025-11-09,横浜店,ドリンク,コーヒー,1,450,450
2025-11-09,新宿店,フード,カレー,5,900,4500
2025-11-10,大宮店,デザート,プリン,4,380,1520
2025-11-12,渋谷店,デザート,プリン,4,380,1520
2025-11-14,新宿店,フード,カレー,4,900,3600
2025-11-14,池袋店,フード,サンドイッチ,2,600,1200
2025-11-16,大宮店,ドリンク,コーヒー,3,450,1350
2025-11-18,新宿店,ドリンク,コーヒー,2,450,900
2025-11-18,渋谷店,デザート,ケーキ,1,550,550
2025-11-18,大宮店,デザート,ケーキ,4,550,2200
2025-11-19,渋谷店,フード,サンドイッチ,5,600,3000
2025-11-20,池袋店,デザート,ケーキ,2,550,1100
2025-11-20,池袋店,ドリンク,紅茶,4,400,1600
2025-11-21,渋谷店,ドリンク,コーヒー,5,450,2250
2025-11-22,横浜店,ドリンク,紅茶,3,400,1200
2025-11-22,横浜店,デザート,ケーキ,1,550,550
2025-11-23,池袋店,フード,パスタ,2,950,1900
2025-11-23,横浜店,デザート,プリン,2,380,760
2025-11-24,大宮店,フード,パスタ,3,950,2850
2025-11-25,横浜店,ドリンク,紅茶,1,400,400
2025-11-26,横浜店,デザート,ケーキ,1,550,550
2025-11-26,大宮店,デザート,プリン,5,380,1900
2025-11-26,池袋店,フード,カレー,4,900,3600
2025-11-27,渋谷店,フード,パスタ,3,950,2850
2025-11-27,池袋店,ドリンク,紅茶,4,400,1600
2025-11-28,新宿店,ドリンク,紅茶,1,400,400
2025-11-29,大宮店,ドリンク,ジュース,2,350,700
2025-11-29,池袋店,フード,パスタ,5,950,4750
2025-11-30,渋谷店,フード,サンドイッチ,1,600,600
2025-11-30,横浜店,ドリンク,紅茶,5,400,2000
2025-12-01,大宮店,デザート,プリン,5,380,1900
2025-12-01,渋谷店,フード,カレー,1,900,900
2025-12-02,渋谷店,デザート,ケーキ,4,550,2200
2025-12-02,大宮店,ドリンク,ジュース,1,350,350
2025-12-02,渋谷店,ドリンク,ジュース,2,350,700
2025-12-02,大宮店,デザート,プリン,3,380,1140
2025-12-03,大宮店,デザート,ケーキ,4,550,2200
2025-12-03,池袋店,デザート,ケーキ,5,550,2750
2025-12-05,渋谷店,デザート,ケーキ,3,550,1650
2025-12-05,新宿店,フード,カレー,5,900,4500
2025-12-05,横浜店,デザート,ケーキ,1,550,550
2025-12-05,大宮店,ドリンク,紅茶,2,400,800
2025-12-05,横浜店,ドリンク,ジュース,5,350,1750
2025-12-06,新宿店,デザート,プリン,4,380,1520
2025-12-07,新宿店,デザート,プリン,5,380,1900
2025-12-08,渋谷店,フード,サンドイッチ,2,600,1200
2025-12-08,大宮店,フード,サンドイッチ,4,600,2400
2025-12-09,横浜店,フード,カレー,5,900,4500
2025-12-09,渋谷店,フード,サンドイッチ,4,600,2400
2025-12-10,大宮店,ドリンク,コーヒー,5,450,2250
2025-12-11,渋谷店,フード,パスタ,1,950,950
2025-12-11,池袋店,フード,サンドイッチ,2,600,1200
2025-12-11,渋谷店,ドリンク,紅茶,3,400,1200
2025-12-11,池袋店,ドリンク,ジュース,4,350,1400
2025-12-11,池袋店,フード,カレー,5,900,4500
2025-12-12,新宿店,デザート,プリン,1,380,380
2025-12-13,大宮店,ドリンク,コーヒー,1,450,450
2025-12-13,新宿店,ドリンク,紅茶,4,400,1600
2025-12-16,大宮店,デザート,ケーキ,1,550,550
2025-12-16,新宿店,デザート,プリン,5,380,1900
2025-12-17,横浜店,デザート,プリン,2,380,760
2025-12-18,池袋店,デザート,プリン,2,380,760
2025-12-18,渋谷店,フード,サンドイッチ,5,600,3000
2025-12-18,池袋店,ドリンク,紅茶,1,400,400
2025-12-19,渋谷店,フード,カレー,3,900,2700
2025-12-20,横浜店,フード,カレー,2,900,1800
2025-12-20,新宿店,ドリンク,ジュース,5,350,1750
2025-12-20,池袋店,フード,カレー,4,900,3600
2025-12-20,池袋店,ドリンク,ジュース,4,350,1400
2025-12-20,横浜店,デザート,プリン,2,380,760
2025-12-21,新宿店,フード,サンドイッチ,4,600,2400
2025-12-21,横浜店,フード,サンドイッチ,4,600,2400
2025-12-21,新宿店,ドリンク,紅茶,3,400,1200
2025-12-22,新宿店,ドリンク,コーヒー,4,450,1800
2025-12-22,横浜店,ドリンク,ジュース,3,350,1050
2025-12-23,新宿店,ドリンク,紅茶,4,400,1600
2025-12-24,横浜店,フード,サンドイッチ,5,600,3000
2025-12-25,池袋店,デザート,ケーキ,4,550,2200
2025-12-25,横浜店,ドリンク,紅茶,3,400,1200
2025-12-26,渋谷店,ドリンク,ジュース,3,350,1050
2025-12-26,池袋店,ドリンク,コーヒー,3,450,1350
2025-12-26,新宿店,フード,サンドイッチ,1,600,600
2025-12-27,渋谷店,フード,カレー,2,900,1800
2025-12-27,池袋店,ドリンク,紅茶,5,400,2000
2025-12-27,新宿店,ドリンク,ジュース,5,350,1750
2025-12-28,新宿店,デザート,プリン,1,380,380
2025-12-29,新宿店,デザート,ケーキ,1,550,550
2025-12-30,新宿店,ドリンク,コーヒー,3,450,1350
2025-12-31,大宮店,フード,カレー,1,900,900
2025-12-31,新宿店,フード,パスタ,2,950,1900
2025-12-31,横浜店,ドリンク,ジュース,2,350,700
